,model_type,data_type,f1_score,accuracy
0,uni,abstract,0.4804490902051877,0.5087719298245614
1,uni,full_text,0.42868712702472295,0.45614035087719296
2,uni,sec-text,0.31970771545239635,0.3508771929824561
3,uni,sec-name,0.39303891629473026,0.38596491228070173
4,uni-bi,abstract,0.46444444444444444,0.49122807017543857
5,uni-bi,full_text,0.3923405725141402,0.42105263157894735
6,uni-bi,sec-text,0.3425108225108226,0.38596491228070173
7,uni-bi,sec-name,0.39303891629473026,0.38596491228070173
