,model_type,data_type,best_accuracy,best_f1
0,models/2_labels_32,abstract,0.543859649122807,0.547383257297578
1,models/2_labels_32,full_text,0.5263157894736842,0.5286274509803922
2,models/2_labels_32,sec-text,0.5614035087719298,0.5656862745098039
3,models/2_labels_32,sec-name,0.5087719298245614,0.5117845117845118
4,models/3_labels_32,abstract,0.5087719298245614,0.47354123484705735
5,models/3_labels_32,full_text,0.38596491228070173,0.2780952380952381
6,models/3_labels_32,sec-text,0.38596491228070173,0.28012519561815336
7,models/3_labels_32,sec-name,0.3684210526315789,0.34476864132036544
