,feature_type,data_type,best_f1,avg_f1,best_accuracy,avg_accuracy,best_params
0,tfidf,abstract,0.58,0.47,0.58,0.5,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}"
1,tfidf,full_text,0.82,0.61,0.83,0.62,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}"
2,tfidf,sec-name,0.66,0.43,0.67,0.48,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}"
3,tfidf,sec-text,0.74,0.55,0.75,0.58,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}"
4,bow,abstract,0.49,0.39,0.58,0.48,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"
5,bow,full_text,0.75,0.46,0.75,0.52,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 17, 'weights': 'uniform'}"
6,bow,sec-name,0.41,0.28,0.42,0.35,"{'algorithm': 'brute', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}"
7,bow,sec-text,0.68,0.51,0.67,0.55,"{'algorithm': 'brute', 'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}"
